date,count
2017-8-4,9
2017-8-3,11
2017-8-2,12
2017-8-1,15
2017-7-31,10
2017-7-30,4
2017-7-29,5
2017-7-28,7
2017-7-27,14
2017-7-26,17
2017-7-25,7
2017-7-24,6
2017-7-23,6
2017-7-22,5
2017-7-21,12
2017-7-20,14
2017-7-19,5
2017-7-18,8
2017-7-17,8
2017-7-16,4
2017-7-15,5
2017-7-14,6
2017-7-13,6
2017-7-12,14
2017-7-11,14
2017-7-10,3
2017-7-9,5
2017-7-8,4
2017-7-7,7
2017-7-6,7
2017-7-5,6
2017-7-4,6
2017-7-3,5
2017-7-2,4
2017-7-1,4
2017-6-30,7
2017-6-29,5
2017-6-28,8
2017-6-27,10
2017-6-26,5
2017-6-25,2
2017-6-24,5
2017-6-23,8
2017-6-22,10
2017-6-21,15
2017-6-20,8
2017-6-19,7
2017-6-18,6
2017-6-17,5
2017-6-16,10
2017-6-15,7
2017-6-14,4
2017-6-13,3
2017-6-12,5
2017-6-11,5
2017-6-10,4
2017-6-9,5
2017-6-8,7
2017-6-7,6
2017-6-6,7
2017-6-5,4
2017-6-4,3
2017-6-3,2
2017-6-2,4
2017-6-1,4
2017-5-31,3
2017-5-30,4
2017-5-29,3
2017-5-28,3
2017-5-27,4
2017-5-26,4
2017-5-25,2
2017-5-24,4
2017-5-23,6
2017-5-22,4
2017-5-21,3
2017-5-20,3
2017-5-19,4
2017-5-18,5
2017-5-17,5
2017-5-16,4
2017-5-15,5
2017-5-14,2
2017-5-13,4
2017-5-12,7
2017-5-11,6
2017-5-10,5
2017-5-9,4
2017-5-8,4
2017-5-7,3
2017-5-6,5
2017-5-5,4
2017-5-4,5
2017-5-3,5
2017-5-2,3
2017-5-1,5
2017-4-30,3
2017-4-29,3
2017-4-28,4
2017-4-27,4
2017-4-26,4
2017-4-25,5
2017-4-24,4
2017-4-23,4
2017-4-22,3
2017-4-21,4
2017-4-20,4
2017-4-19,2
2017-4-18,6
2017-4-17,1
2017-4-16,4
2017-4-15,2
2017-4-14,6
2017-4-13,3
2017-4-12,4
2017-4-11,4
2017-4-10,4
2017-4-9,2
2017-4-8,4
2017-4-7,3
2017-4-6,2
2017-4-5,6
2017-4-4,2
2017-4-3,3
2017-4-2,0
2017-4-1,4
2017-3-31,3
2017-3-30,4
2017-3-29,3
2017-3-28,5
2017-3-27,3
2017-3-26,1
2017-3-25,4
2017-3-24,2
2017-3-23,3
2017-3-22,6
2017-3-21,5
2017-3-20,5
2017-3-19,2
2017-3-18,5
2017-3-17,4
2017-3-16,4
2017-3-15,3
2017-3-14,3
2017-3-13,5
2017-3-12,3
2017-3-11,6
2017-3-10,7
2017-3-9,5
2017-3-8,5
2017-3-7,3
2017-3-6,5
2017-3-5,5
2017-3-4,4
2017-3-3,4
2017-3-2,6
2017-3-1,5
2017-2-28,5
2017-2-27,7
2017-2-26,4
2017-2-25,3
2017-2-24,5
2017-2-23,6
2017-2-22,5
2017-2-21,5
2017-2-20,4
2017-2-19,4
2017-2-18,4
2017-2-17,4
2017-2-16,5
2017-2-15,5
2017-2-14,5
2017-2-13,4
2017-2-12,3
2017-2-11,4
2017-2-10,5
2017-2-9,3
2017-2-8,6
2017-2-7,5
2017-2-6,4
2017-2-5,3
2017-2-4,3
2017-2-3,3
2017-2-2,4
2017-2-1,3
2017-1-31,4
2017-1-30,3
2017-1-29,3
2017-1-28,4
2017-1-27,5
2017-1-26,4
2017-1-25,4
2017-1-24,4
2017-1-23,3
2017-1-22,4
2017-1-21,5
2017-1-20,6
2017-1-19,4
2017-1-18,4
2017-1-17,4
2017-1-16,4
2017-1-15,4
2017-1-14,4
2017-1-13,4
2017-1-12,5
2017-1-11,4
2017-1-10,5
2017-1-9,3
2017-1-8,4
2017-1-7,4
2017-1-6,4
2017-1-5,3
2017-1-4,3
2017-1-3,4
2017-1-2,5
2017-1-1,4
2016-12-31,3
2016-12-30,3
2016-12-29,4
2016-12-28,3
2016-12-27,4
2016-12-26,5
2016-12-25,3
2016-12-24,3
2016-12-23,4
2016-12-22,3
2016-12-21,4
2016-12-20,4
2016-12-19,3
2016-12-18,3
2016-12-17,3
2016-12-16,2
2016-12-15,5
2016-12-14,4
2016-12-13,4
2016-12-12,3
2016-12-11,4
2016-12-10,4
2016-12-9,3
2016-12-8,5
2016-12-7,3
2016-12-6,5
2016-12-5,5
2016-12-4,3
2016-12-3,3
2016-12-2,4
2016-12-1,4
2016-11-30,5
2016-11-29,4
2016-11-28,3
2016-11-27,2
2016-11-26,4
2016-11-25,4
2016-11-24,5
2016-11-23,5
2016-11-22,4
2016-11-21,5
2016-11-20,2
2016-11-19,2
2016-11-18,6
2016-11-17,6
2016-11-16,7
2016-11-15,5
2016-11-14,5
2016-11-13,2
2016-11-12,4
2016-11-11,6
2016-11-10,7
2016-11-9,5
2016-11-8,4
2016-11-7,4
2016-11-6,3
2016-11-5,3
2016-11-4,4
2016-11-3,5
2016-11-2,3
2016-11-1,4
2016-10-31,5
2016-10-30,3
2016-10-29,4
2016-10-28,6
2016-10-27,4
2016-10-26,5
2016-10-25,4
2016-10-24,4
2016-10-23,2
